Name,DMS,DD,LatitudeDMS,LongitudeDMS,LatitudeDD,LongitudeDD,UUID
Hospital Providence of El Paso,"((31, 46, 14.0), (106, 30, 1.6))","(31.770555555555553, -106.50044444444444)","(31, 46, 14.0)","(106, 30, 1.6)",31.770555555555553,-106.50044444444444,5ec1afd57f97de49598aed67032fb85db83644cbb582bc9ffe05909b2964c28eb5bc6ce85a5b8824b668b379396d3ca8698f09423d79f48fae333094c08f3d34
Palmas Medical Center,"((31, 46, 12.3), (106, 29, 56.6))","(31.770083333333332, -106.49905555555556)","(31, 46, 12.3)","(106, 29, 56.6)",31.770083333333332,-106.49905555555556,beff07d3f35bbe0f33d4ac20dd33e46a0b4463aa80af1e26c5e92bda4da9faac3e311601df1bf486c0abcdf10ad1e6d48203c70e22cac66c16f9fce6e1c81078
Kindred Hospital El Paso,"((31, 46, 43.4), (106, 28, 38.1))","(31.77872222222222, -106.47725)","(31, 46, 43.4)","(106, 28, 38.1)",31.77872222222222,-106.47725,2f94ff04052e942c9fbcee3512a902a766940e9a1c0f0b589208c2ade45d4dcb8fec4246bf6a012f6e7346f704388b1dc761c26a5b3aea99d9d5355bd1f93e25
El Paso Speciality Hospital,"((31, 46, 43.4), (106, 28, 39.0))","(31.77872222222222, -106.4775)","(31, 46, 43.4)","(106, 28, 39.0)",31.77872222222222,-106.4775,159bf435b64acd91b7e34bad5d15aeaf0619e3185124cb5e6fed7850ccd420b5a160e35a31c402c4492bfe7aca1cb6378239551ee739386eae2afc4341832fee
El Paso LTAC Hospital,"((31, 47, 1.6), (106, 28, 27.3))","(31.78377777777778, -106.47425)","(31, 47, 1.6)","(106, 28, 27.3)",31.78377777777778,-106.47425,aacdb25f39a33db319661563fa261547bf5c148567adc01b0bb52693b1baca42a58e79f929e30647c3ee27ed07a2b77f8b00bc754235bf81361f202c60f54b51
Las Palmas Rehabilitation Center,"((31, 47, 20.5), (106, 30, 31.9))","(31.78902777777778, -106.50886111111112)","(31, 47, 20.5)","(106, 30, 31.9)",31.78902777777778,-106.50886111111112,eb89edbd9c8d5385ff55771c7a27bca3821e49f092b2905dceb3739b52d4121e0bc9f59c66d96460ca240d81ba8ce45f913d1ea0f34a2941beaf4c97d5d7acbc
Complete Care Community Hospital,"((31, 48, 3.6), (106, 30, 36.1))","(31.801000000000002, -106.51002777777778)","(31, 48, 3.6)","(106, 30, 36.1)",31.801000000000002,-106.51002777777778,8a28070f86b4516a12963fb1e83e81fec18e44001d72c817fd924b2c29bf2fba68ebd42273c3da6a2d88229803831d92b37ff7870b1db904471a472c0ce9cdad
William Beaumont Army Medical Center,"((31, 49, 17.5), (106, 27, 46.8))","(31.821527777777778, -106.46300000000001)","(31, 49, 17.5)","(106, 27, 46.8)",31.821527777777778,-106.46300000000001,b7b3fd372612f236d55429c05b1d3774739df62d7ed735700046a482730a27af27e6de8d432f405a3f812b8e2570c8de8ce3c742f5830df21a711ce7f42cffa4
University Medical Center Foundation,"((31, 47, 18.7), (106, 26, 6.4))","(31.78852777777778, -106.43511111111111)","(31, 47, 18.7)","(106, 26, 6.4)",31.78852777777778,-106.43511111111111,6b4e10151ef47669933d06743bde318a09216cbca9b0f72cde7f8dcdda6cbe2f4fb713f9dc6374f5ee4f71d3acd2a1e60ea350aa103cc73ffff13115b7ed3976
Hospital of Providence East Campus,"((31, 47, 25.8), (106, 15, 52.2))","(31.7905, -106.2645)","(31, 47, 25.8)","(106, 15, 52.2)",31.7905,-106.2645,6d080c5901c977a8416ebf75538b395b3dccc579e423617bf5e8d9d8d4c4d8530cfaf9c6da36ed51d961100b4c72b29ccdf14ecd3302f1e73596b774bbf740d4
Del Sol Medical Center,"((31, 45, 24.7), (106, 21, 1.8))","(31.75686111111111, -106.3505)","(31, 45, 24.7)","(106, 21, 1.8)",31.75686111111111,-106.3505,cdd076b568ba1255f1e7338c6b75f69c8dfcd51d2e342ba12b4bd83ef023f7241beea14de294488889891e1aa30eb692b3bd6ec6fc2abf64e465cf8e577be5eb
