Name,DMS,DD,LatitudeDMS,LongitudeDMS,LatitudeDD,LongitudeDD,UUID
Hospital Providence of El Paso,"((31, 46, 14.0), (106, 30, 1.6))","(31.770555555555553, -106.50044444444444)","(31, 46, 14.0)","(106, 30, 1.6)",31.770555555555553,-106.50044444444444,b18ccd6c9ced25fe2b3970c5e74849a1609ae51e209dcb9e937da4459cbba931ea1638c4b73323546599ded352b6f68e3711bdd0bc56b720ac5c3aa220ced388
Palmas Medical Center,"((31, 46, 12.3), (106, 29, 56.6))","(31.770083333333332, -106.49905555555556)","(31, 46, 12.3)","(106, 29, 56.6)",31.770083333333332,-106.49905555555556,14bfd464cc314e853c9c4dea268e37d0a1b8466b43bb4218680b99779b2e2f93b42382ba2ce21a7a64bb3620d73534cc8b89ff9976d413547cc3f09133d21c7d
Kindred Hospital El Paso,"((31, 46, 43.4), (106, 28, 38.1))","(31.77872222222222, -106.47725)","(31, 46, 43.4)","(106, 28, 38.1)",31.77872222222222,-106.47725,bc6c631551f09651497b6ca026b27704ee76980dd4f97ec11252afce84ed651cd701ed64e04dfcc02a4e70a492a61dc6f3bf1c7983023bfaf8952786a31e2268
El Paso Speciality Hospital,"((31, 46, 43.4), (106, 28, 39.0))","(31.77872222222222, -106.4775)","(31, 46, 43.4)","(106, 28, 39.0)",31.77872222222222,-106.4775,c243802fd7d10a3104ffbfa81f972366c9722b9f7d1525fec348e648f8b54d05edf897689d855ee34c235ed5be755e5483423da96dfab893f25b3f7684443e3b
El Paso LTAC Hospital,"((31, 47, 1.6), (106, 28, 27.3))","(31.78377777777778, -106.47425)","(31, 47, 1.6)","(106, 28, 27.3)",31.78377777777778,-106.47425,09f2fb6b741b1dc1afee13e27ead8eb8e4b9ba4e0a1b0403375ce4b386ee2eca677a0b324076047fcaf8ba6361ea388281800112886ca50b9d38d9c432644a70
Las Palmas Rehabilitation Center,"((31, 47, 20.5), (106, 30, 31.9))","(31.78902777777778, -106.50886111111112)","(31, 47, 20.5)","(106, 30, 31.9)",31.78902777777778,-106.50886111111112,ed8284b565a73475b51a3ff58ac4c9b162e8083a94863e59166a5e03810c57ac9f46fe2b3793e46c037c9c72841bb43bb5a2fc84fde5ef489cd3cf810d7cad6a
Complete Care Community Hospital,"((31, 48, 3.6), (106, 30, 36.1))","(31.801000000000002, -106.51002777777778)","(31, 48, 3.6)","(106, 30, 36.1)",31.801000000000002,-106.51002777777778,acda993a34badfb63187717b88de7691ea085bfadbd55879d7b3d2a927ac3175a13f047aef351a5cf977f8ed65ceb18025940caf906faa4787bdeda27542232a
William Beaumont Army Medical Center,"((31, 49, 17.5), (106, 27, 46.8))","(31.821527777777778, -106.46300000000001)","(31, 49, 17.5)","(106, 27, 46.8)",31.821527777777778,-106.46300000000001,d098dec33b5c83cd9aac2d6b6ee23a29f59d7a7261ade80e35f5040f0ca8dd8bcbe9367366079ff63a79ed473ff345827018aee5f52a3ebf23bb2f394ca453dc
University Medical Center Foundation,"((31, 47, 18.7), (106, 26, 6.4))","(31.78852777777778, -106.43511111111111)","(31, 47, 18.7)","(106, 26, 6.4)",31.78852777777778,-106.43511111111111,22fd98d7a1277beb0c076f89fd104999ebceea8723b046b905835deaf7943c953a6566f3896cc552e957161b9f78440fc849c9c731366165c5097bcb39277875
Hospital of Providence East Campus,"((31, 47, 25.8), (106, 15, 52.2))","(31.7905, -106.2645)","(31, 47, 25.8)","(106, 15, 52.2)",31.7905,-106.2645,3491436fd1c8829fa3a2ac2ad27495a6466064e4c0ec2bfdf614da7a62f3e7efe486478055354d87d88319e50758bfeb296df9f80647f8efc86439ee6271fd32
Del Sol Medical Center,"((31, 45, 24.7), (106, 21, 1.8))","(31.75686111111111, -106.3505)","(31, 45, 24.7)","(106, 21, 1.8)",31.75686111111111,-106.3505,2ef5442c22c3d9d5ce413a45ce2b34509bb31334bfc8a63bf38318e7af61c88035c6ad2803ec536b53f27eaf472e127f846804ac7b31b3554d08d466793d5f3f
