start_name,start_loc_lat,start_loc_lon,end_name,end_loc_lat,end_loc_lon
Sterling Heliport,-74.894203186,40.0812988281,Burlington Generating Station Heliport,-74.8746032715,40.0736999512
Arrow B Ranch Airport,-101.4209976196,38.7042007446,Mark Hoard Memorial Airport,-101.3529968262,38.4570007324
Ninilchik Airport,-151.5890045166,60.020198822,Lowell Field,-151.695999146,59.94919968
Big Sky Airport,-86.7099990845,34.8856010437,Hazel Green Airport,-86.6468963623,34.9161987305
Unity Health Harris Medical Center Heliport,-91.264466,35.609774,Newport Hospital & Clinic Heliport,-91.254898,35.6087
Drifting G Ranch Airport,-97.8107833,34.987416,Fulton Airport,-97.8180194,34.9428028
Orme School Airport,-112.0650024414,34.4277992249,Cordes Airport,-112.1650009155,34.3055992126
Bicycle Lake Army Air Field,-116.629997253,35.2804985046,Goldstone /Gts/ Airport,-116.888000488,35.3504981995
Richvale Airport,-121.7710037231,39.4976997375,Williams Ag Airport,-121.763427,39.427188
Pine Valley Border Patrol Station Heliport,-116.450054,32.716072,Kitchen Creek Helibase Heliport,-116.4597417,32.7273736
William Leon Schawo Airport,-104.2080001831,40.6707992554,Cass Field,-104.344002,40.622202
Connell's Wahoo Airport,-82.1577987671,28.6319007874,Flying W Airranch Airport,-82.1576004028,28.683599472
Inverness Airport,-82.316498,28.808599,Ringhaver Heliport,-82.3453979492,28.8465995789
Sunset Strip Airpark,-80.9037017822,27.2341995239,River Oak Airport,-80.9692001343,27.2308998108
Caleb Heliport,-84.0146026611,33.7812004089,Lt World Airport,-84.0682983398,33.7675018311
Pinewood Airport,-84.8007965088,33.7821006775,Wellstar Douglas Hospital Heliport,-84.7328033447,33.738899231
Ellison Onizuka Kona International At Keahole Airport,-156.045603,19.738783,Old Kona Airport,-156.0114,19.6448
CX Ranch Airport,-116.197998,48.138,Cx Ranch Nr 2 Airport,-116.1819992065,48.1416015625
Jack Poore Airport,-101.3479995728,39.8180999756,Atwood-Rawlins County City Airport,-101.0419998,39.84009933
Burns International Harbor Heliport,-87.1522979736,41.6370010376,Midwest Steel Heliport,-87.176399231,41.6083984375
Gentry Airport,-89.5597991943,41.9908981323,Hammer Airport,-89.5604019165,41.9784011841
Hobart Sky Ranch Airport,-87.2624969482,41.5541992188,Johnsons Strawberry Farm Airport,-87.2264022827,41.5569000244
