start_loc,start_name,end_name,end_loc
"(-86.7703018188, 34.8647994995)",Epps Airpark,Total Rf Heliport,"(-74.9336013794, 40.0708007812)"
"(-97.8180194, 34.9428028)",Fulton Airport,Aero B Ranch Airport,"(-101.473911, 38.704022)"
"(-121.763427, 39.427188)",Williams Ag Airport,Lowell Field,"(-151.695999146, 59.94919968)"
"(-91.254898, 35.6087)",Newport Hospital & Clinic Heliport,Epps Airpark,"(-86.7703018188, 34.8647994995)"
"(-86.7703018188, 34.8647994995)",Epps Airpark,Newport Hospital & Clinic Heliport,"(-91.254898, 35.6087)"
"(-101.473911, 38.704022)",Aero B Ranch Airport,Fulton Airport,"(-97.8180194, 34.9428028)"
"(-116.4597417, 32.7273736)",Kitchen Creek Helibase Heliport,Cordes Airport,"(-112.1650009155, 34.3055992126)"
"(-116.4597417, 32.7273736)",Kitchen Creek Helibase Heliport,Goldstone /Gts/ Airport,"(-116.888000488, 35.3504981995)"
"(-116.888000488, 35.3504981995)",Goldstone /Gts/ Airport,Williams Ag Airport,"(-121.763427, 39.427188)"
"(-116.888000488, 35.3504981995)",Goldstone /Gts/ Airport,Kitchen Creek Helibase Heliport,"(-116.4597417, 32.7273736)"
