name,start_lat,start_lon
Total Rf Heliport,40.0708007812,-74.9336013794
Aero B Ranch Airport,38.704022,-101.473911
Cass Field,40.622202,-104.344002
Albert Guido Memorial Heliport,40.7417984009,-74.1371002197
Providence Hospital Heliport,42.3386993408,-122.861999512
Bronson Methodist Hospital Heliport,42.2869987488,-85.5813980103
Carey Lake Seaplane Base,47.4183006287,-92.8276977539
Troll Farm Airport,45.6115989685,-93.1974029541
Wabana Seaplane Base,47.418598175,-93.5187988281
Barnesville Municipal Airport,46.6651992798,-96.4412002563
Fairview Riverside Medical Center Heliport,44.966999054,-93.2373962402
Janssen Airport,46.7118988037,-96.3515014648
Merill L Harris Field,44.6433982849,-93.6996994019
Watonwan Memorial Hospital Heliport,43.9799995422,-94.616897583
Whiskey Lake Seaplane Base,45.973098,-95.576104
Hendershots Heliport,42.1332015991,-123.4509963989
Tofte Airport,47.588003,-90.8235
Anheuser/Busch Inc Heliport,38.5917015076,-90.2083969116
Missouri Baptist Hospital Heliport,38.6352996826,-90.4459991455
Fitzgibbon Hospital Heliport,39.1124992371,-93.1891021729
Lawlor-Justus Airport,39.6417007446,-94.8135986328
Worth Airport,39.9791984558,-94.8739013672
Hindman Airport,37.06119919,-93.09929657
Ivy Bend Airport,38.1930999756,-92.992401123
Urbana Area Medical Heliport,37.8417015076,-93.1669006348
Owensville Ambulance District Heliport,38.3555984497,-91.5024032593
Long Ranch Airport,42.0190010071,-121.7040023804
Eagle Lodge Airport,39.5499992371,-93.2501983643
Martin Heliport Area,30.356515,-88.507352
Beets Airport,31.202544,-89.749755
Monger Airport,45.7580986023,-111.0830001831
Mc Kenna Airport,45.7907981873,-111.125
Vansant Airport,40.4842987061,-75.0996017456
Philadelphia Seaplane Base,39.8590011597,-75.2995986938
Seamans Field,41.5894012451,-75.7561035156
Farmers Pride Airport,40.4429016113,-76.4415969849
Dakota Clinic Heliport,46.8936004639,-99.2922973633
Round Butte Heliport,44.6165008545,-121.2679977417
Bodmer Airport,48.6660995483,-101.8909988403
Raleigh East Airport,35.7976989746,-78.43699646
Stanley Memorial Hospital Heliport,35.3633003235,-80.1947021484
Flyers Airpark,35.2182006836,-78.7964019775
Edwards Airport,35.0708007812,-80.5663986206
Jiles Field,36.5093994141,-76.6641998291
Saint Luke's Hospital Heliport,35.2400016785,-82.2110977173
Sandy Run Acres Airport,34.2748985291,-78.1607971191
Willow Creek Airport,35.3697013855,-80.4400024414
Eagles Landing Airport,35.6869010925,-79.2188034058
East Oregon Cattle Co Airport,42.5035018921,-122.855003357
Meylor Field,36.2100982666,-79.8949966431
Elliott Farms Airport,48.6479988098,-97.2684020996
Hinkle Airport,48.7854995728,-97.6723022461
El-Co Airport,41.1444015503,-101.9270019531
Folkerts Airport,40.2916984558,-97.7225036621
Davis Ranch Airport,42.1875,-101.7890014648
Johnston Field,41.7033004761,-97.7444992065
Bates Airpark,41.3382987976,-96.0880966187
Bay Field,41.4333000183,-100.4840011597
Brosius Field,41.4016990662,-100.4789962769
Rome Service Airport,42.8339996338,-117.6289978027
Dog Leg Airport,40.1944007874,-97.5670013428
Lag's Landing Heliport,40.9553985596,-74.0709991455
Bound Brook Nr 1 Heliport,40.5644989014,-74.554901123
Bound Brook Nr 2 Heliport,40.5564994812,-74.5624008179
At&T Helistop,40.7168006897,-74.5495986938
Robert Wood Johnson Hospital Heliport,40.4956016541,-74.4516983032
Stallone Airport,39.6800994873,-75.2524032593
Halka Nurseries Airport,39.3664016724,-75.2683029175
Rca Sommerville Heliport,40.5736999512,-74.6677017212
High Meadow Farms Airport,40.8959007263,-74.9996032715
Marr Field,44.8540000916,-123.263999939
Ash Personal Heliport,39.715403,-74.131203
Greig Farm Airport,42.024318,-73.856292
Triple F Airpark,35.018333,-78.565833
Buie Field,34.793333,-79.193611
210 Investors Heliport,34.358889,-77.860556
