start_loc,start_name,end_name,end_loc
"(34.8647994995, -86.7703018188)",Epps Airpark,Total Rf Heliport,"(40.0708007812, -74.9336013794)"
"(34.9428028, -97.8180194)",Fulton Airport,Aero B Ranch Airport,"(38.704022, -101.473911)"
"(39.427188, -121.763427)",Williams Ag Airport,Lowell Field,"(59.94919968, -151.695999146)"
"(35.6087, -91.254898)",Newport Hospital & Clinic Heliport,Epps Airpark,"(34.8647994995, -86.7703018188)"
"(34.8647994995, -86.7703018188)",Epps Airpark,Newport Hospital & Clinic Heliport,"(35.6087, -91.254898)"
"(38.704022, -101.473911)",Aero B Ranch Airport,Fulton Airport,"(34.9428028, -97.8180194)"
"(32.7273736, -116.4597417)",Kitchen Creek Helibase Heliport,Cordes Airport,"(34.3055992126, -112.1650009155)"
"(32.7273736, -116.4597417)",Kitchen Creek Helibase Heliport,Goldstone /Gts/ Airport,"(35.3504981995, -116.888000488)"
"(35.3504981995, -116.888000488)",Goldstone /Gts/ Airport,Williams Ag Airport,"(39.427188, -121.763427)"
"(35.3504981995, -116.888000488)",Goldstone /Gts/ Airport,Kitchen Creek Helibase Heliport,"(32.7273736, -116.4597417)"
